Kraj: Košický kraj
Okres: Gelnica

OCR_accurracy: HIGH

**Inventarizácia drevín na rok 2026 - 2027 v obvode SM50 ŽTS TO Margécany v úseku ŽST Kolice - ŽST Margécany**

**KÓPIA**

**Medzi-stavby oblasť:**

| Skratka stavby | Názov stavby | Plocha (ha) | Drevinná skupina | Vek (roky) | Bonita | Skupina kvality dreva | Skutočná zásoba dreva (m3/ha) |
|---|---|---|---|---|---|---|---|
| P | Predajné | 132.800 | B | 50 | 3 | B2 | 25.00 |
| V | Výrobné | 3.000 | B | 50 | 3 | B2 | 25.00 |
| T | Technické | 0.400 | B | 50 | 3 | B2 | 25.00 |

**ŽST Kolice - ŽST Margécany, výročná stromov**

| Vrchol kótou (m) | Skutočná výška (m) | D (cm) | Hmotnosť 1m3 (kg/m3) | Skutočná zásoba (m3) | Objem dreva (m3) | Objem kôry (m3) | Objem pňa (m3) | Objem kôry pňa (m3) | Počet stromov |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
| 20.00 | 20.00 | 30.00 | 800.00 | 1890.00 | 1900.00 | 60.00 | 1900.00 | 60.00 | 1.00 |
